"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2000","2000",1.70531,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2001","2001",1.6055,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2002","2002",1.58386,"‡","UIS Estimation"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2003","2003",1.71625,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2004","2004",1.80607,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2005","2005",1.64943,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2006","2006",1.5773,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2007","2007",1.67549,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2008","2008",1.5141,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2009","2009",1.62073,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2010","2010",1.79945,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2011","2011",1.96274,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2012","2012",1.92781,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2014","2014",1.85752,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2015","2015",1.82666,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","COD","Democratic Republic of the Congo","2010","2010",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","COD","Democratic Republic of the Congo","2013","2013",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","COD","Democratic Republic of the Congo","2015","2015",,"n","Magnitude nil or negligible"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MRT","Mauritania","2008","2008",0.59393,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MRT","Mauritania","2010","2010",0.67732,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MRT","Mauritania","2011","2011",0.3915,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MRT","Mauritania","2012","2012",0.33971,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MRT","Mauritania","2013","2013",0.34015,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MRT","Mauritania","2015","2015",0.47693,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MRT","Mauritania","2016","2016",0.46654,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","COG","Congo","2002","2002",1.13446,"‡","UIS Estimation"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","COG","Congo","2005","2005",0.50033,"‡","UIS Estimation"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","COG","Congo","2010","2010",1.92834,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2001","2001",0.25135,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2004","2004",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2005","2005",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2006","2006",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2007","2007",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2008","2008",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2009","2009",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2010","2010",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2011","2011",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2012","2012",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2013","2013",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GHA","Ghana","2014","2014",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2000","2000",0.11724,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2001","2001",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2003","2003",0.1172,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2004","2004",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2006","2006",0.25901,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2011","2011",0.2157,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2012","2012",0.21712,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2013","2013",0.22766,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2014","2014",0.27678,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KEN","Kenya","2015","2015",0.2703,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2000","2000",2.02468,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2001","2001",1.09059,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2002","2002",0.99671,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2003","2003",1.48432,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2004","2004",1.4388,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2005","2005",1.55245,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2006","2006",1.39701,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2008","2008",1.42639,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2009","2009",1.41236,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2010","2010",1.01367,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2011","2011",0.88131,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SWZ","Eswatini","2014","2014",0.95032,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","UGA","Uganda","2004","2004",0.8574,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","UGA","Uganda","2010","2010",0.94201,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","UGA","Uganda","2011","2011",0.98965,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","UGA","Uganda","2012","2012",0.7032,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","UGA","Uganda","2013","2013",0.58777,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","UGA","Uganda","2014","2014",0.55254,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LSO","Lesotho","2000","2000",1.68639,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LSO","Lesotho","2001","2001",1.74549,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LSO","Lesotho","2005","2005",4.4023,"‡","UIS Estimation"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LSO","Lesotho","2006","2006",4.14989,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LSO","Lesotho","2008","2008",4.14398,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2005","2005",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2006","2006",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2007","2007",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2008","2008",0.1177,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2009","2009",0.10215,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2010","2010",0.11659,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2011","2011",0.0923,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2012","2012",0.09398,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CMR","Cameroon","2013","2013",0.11088,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2004","2004",0.56966,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2005","2005",0.56511,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2008","2008",0.54429,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2009","2009",0.75507,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2010","2010",0.92448,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2011","2011",0.99126,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2012","2012",0.61224,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2013","2013",0.9124,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2014","2014",0.94847,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2015","2015",0.98474,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GIN","Guinea","2016","2016",0.9237,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","TUN","Tunisia","2000","2000",2.06615,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","TUN","Tunisia","2001","2001",2.05566,"‡","UIS Estimation"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","TUN","Tunisia","2002","2002",1.90265,"‡","UIS Estimation"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","TUN","Tunisia","2003","2003",2.3845,"‡","UIS Estimation"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","TUN","Tunisia","2004","2004",2.36887,"‡","UIS Estimation"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","TUN","Tunisia","2005","2005",2.21141,"‡","UIS Estimation"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","TUN","Tunisia","2008","2008",1.73487,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2000","2000",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2001","2001",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2002","2002",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2003","2003",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2004","2004",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2005","2005",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2006","2006",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2007","2007",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2008","2008",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2009","2009",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2010","2010",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2011","2011",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2012","2012",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MAR","Morocco","2013","2013",,"n","Magnitude nil or negligible"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2005","2005",0.38815,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2006","2006",0.4231,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2007","2007",0.42954,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2008","2008",0.44708,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2009","2009",0.48895,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2011","2011",0.37483,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2012","2012",0.41528,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2015","2015",0.16277,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MDG","Madagascar","2016","2016",0.1856,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2000","2000",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2001","2001",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2002","2002",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2004","2004",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2005","2005",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2008","2008",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2009","2009",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2010","2010",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2011","2011",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2012","2012",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BDI","Burundi","2013","2013",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2000","2000",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2001","2001",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2007","2007",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2008","2008",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2009","2009",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2010","2010",0.11645,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2011","2011",0.08915,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2012","2012",0.15833,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2013","2013",0.1444,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2014","2014",0.0707,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TGO","Togo","2015","2015",0.08288,,
