Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Eastern Europe,GEE,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,GEE,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,GEE,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,GEU,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,GEU,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,GEU,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: nonOECD,NOC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: nonOECD,NOC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: nonOECD,NOC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,OEC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,OEC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,OEC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,GLC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,GLC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,GLC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,LMC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,LMC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,LMC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,GNA,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,GNA,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,GNA,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not classified,LNX,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not classified,LNX,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not classified,LNX,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothern America,NAR,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothern America,NAR,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothern America,NAR,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,GCN,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,GCN,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,GCN,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania (not including Australia and New Zealand),GOC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania (not including Australia and New Zealand),GOC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania (not including Australia and New Zealand),GOC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Eastern Asia,GSE,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Eastern Asia,GSE,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Eastern Asia,GSE,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,GSA,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,GSA,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,GSA,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,GSS,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,GSS,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,GSS,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Asia,GWA,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Asia,GWA,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Asia,GWA,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,GWL,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,GWL,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,GWL,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,13,12.54386347,18.91622285,32.5,31.84515663,32.4,33.38011039,63.8,58.42366743,87.8,64.2,78.96107435
Afghanistan,AFG,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.021977138,0.179634586,0.959755898,0.776536942,6.267393589,11.75196648,17.23631859,23,28.2286129,33.74868011,42.4,44.8548851,42.7,43.22201891,69.1,67.259552,89.5,71.5,84.13713837
Afghanistan,AFG,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,52.03697586,53.80983734,55.58252335,57.35417938,59.12377548,60.89027786,62.65266037,64.40988922,66.16093445,67.90476227,69.64098358,71.3717804,73.09996796,74.82835388,76.55976105,74,80.04289246,81.80025482,89.9,85.35450745,82.8,86.56777915,95,92.5772934,98.7,92.5,98.038414
Albania,ALB,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Albania,ALB,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Albania,ALB,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Algeria,DZA,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,96.39231475,96.55789324,96.72800162,96.89752011,97.05944361,97.20635816,97.33117134,97.43048754,97.50512573,97.55290584,97.57024691,97.55850318,97.52262352,97.47133624,97.41508731,97.36528677,97.33402237,97.33483007,97.91063487,97.46213388,97.59427076,97.76635687,97.85878421,98.18665651,98.42962343,98.68768253,98.95537236
Algeria,DZA,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,98.27137756,98.37776947,98.48365784,98.58647919,98.68318939,98.77071381,98.8460083,98.90600586,98.94764709,98.96788025,98.96515656,98.94402313,98.91053772,98.87077332,98.83078766,98.79664612,98.77441406,98.7701416,99.3,98.82767487,98.88497162,98.95729828,98.76466047,99.13498688,99.23434448,99.33670807,99.43956757
Algeria,DZA,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,99.99935913,99.99464417,99.97888184,99.94638062,99.89823914,99.84062195,99.77935791,99.71820068,99.66005707,99.60774231,99.56397247,99.53124237,100,99.5056839,99.5056839,99.51237488,99.25673759,99.55096436,99.57711029,99.60533142,99.63442993
American Samoa,ASM,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,AND,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,AND,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,AGO,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,7.518615066,8.330743085,9.121241095,9.887080945,10.62208304,11.3215701,11.98020143,12.59309499,13.15427969,13.65746213,14.09835409,4,14.81210648,15.09558998,15.33659695,15.54392421,15.72091824,8.8,16.0093751,16.1241288,16.20995753,5.5,16.2842982,16.27223675,3,7,15.98420912
Angola,AGO,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,11.39780807,12.57937908,13.76043987,14.93844128,16.11032486,17.27303123,18.42350197,19.55867577,20.67549515,21.77090073,22.84335518,20,24.93909454,25.97450829,27.00970078,28.05073547,29.10367584,37.5,31.268013,32.38246918,33.5149498,34.6,35.82196426,36.99048996,32,42,40.52060699
Angola,AGO,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,22.68237495,24.5339241,26.38530159,28.2356472,30.08393288,31.92912483,33.77019501,35.60611343,37.43584442,39.25836563,41.07328033,30,44.68963623,46.49671173,48.30680847,50.12273788,51.94732285,66.1,55.63293839,57.49500656,59.36778259,82.5,63.13833618,65.03253937,51,64,70.72973633
Anguilla,AIA,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,89.1986618,89.89792633,90.4,91.29238892,91.98197174,92.6623764,93.33054352,93.9834137,94.61792755,95.23103333,95.82118988,96.7,96.95232391,97.50543213,98.06269836,98.61990356,99.14859009,99.57972717,99.84980774,99.96633911,99.99650574,100,100,100,100,100,100
Anguilla,AIA,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,89.1986618,89.89792633,90.4,91.29238892,91.98197174,92.6623764,93.33054352,93.9834137,94.61792755,95.23103333,95.82118988,96.7,96.95232391,97.50543213,98.06269836,98.61990356,99.14859009,99.57972717,99.84980774,99.96633911,99.99650574,100,100,100,100,100,100
Antigua and Barbuda,ATG,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,76.96147746,77.77213417,78.7204501,79.65228322,80.56384326,81.4503978,82.30838245,83.13292129,83.92071118,84.66785919,85.37281108,86.04838225,86.74865413,87.42893769,88.09941031,89.00451736,89.43456862,90.1105124,90.80229977,91.50789833,92.2216022,92.68294474,93.66651749,94.39272743,95.11743986,95.83648999,96.54689135
Antigua and Barbuda,ATG,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,85.12319946,85.65510559,86.18650055,86.71483612,87.23705292,87.75009155,88.25089264,88.73640442,89.20355225,89.64929199,90.07208252,90.47645569,90.8684845,91.25423431,91.63976288,92.2,92.43440247,92.85564423,93.29940796,93.7641983,94.24700928,94.55201403,95.25469208,95.77355194,96.29841614,96.82629395,97.35466766
Antigua and Barbuda,ATG,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,99.99951172,99.9960556,99.98521423,99.96516418,99.94076538,99.9210968,99.91366577,99.91366577,99.92112732,99.94070435,99.96499634,99.98506927,99.99598694,99.99949646,100,100
Argentina,ARG,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,90.64082336,91.12367249,91.60601807,92.08530426,92.55847168,93.02246094,93.47421265,93.91067505,94.3287735,94.72546387,95.09920502,95.51106347,95.79750824,96.13420868,96.47068024,96.81299591,97.16722107,97.53941345,97.93412781,98.36336517,98.82,99.21616364,99.58441162,99.83712769,99.95924377,99.99520874,100
Argentina,ARG,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,90.64082336,91.12367249,91.60601807,92.08530426,92.55847168,93.02246094,93.47421265,93.91067505,94.3287735,94.72546387,95.09920502,95.51106347,95.79750824,96.13420868,96.47068024,96.81299591,97.16722107,97.53941345,97.93412781,98.36336517,98.82,99.21616364,99.58441162,99.83712769,99.95924377,99.99520874,100
Argentina,ARG,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,90.64082336,91.12367249,91.60601807,92.08530426,92.55847168,93.02246094,93.47421265,93.91067505,94.3287735,94.72546387,95.09920502,95.51106347,95.79750824,96.13420868,96.47068024,96.81299591,97.16722107,97.53941345,97.93412781,98.36336517,98.82,99.21616364,99.58441162,99.83712769,99.95924377,99.99520874,100
Armenia,ARM,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,95.78970448,96.18639645,96.57011192,96.94265163,97.29617247,97.62408189,97.92002338,98.17779839,98.39180728,98.55868406,98.6,100,95.68155465,98.83748803,98.86082475,99.7,98.93645812,99.00966737,99.11652096,99.25750737,99.8,99.61313989,99.78736307,99.91388004,99.97781595,100,100
Armenia,ARM,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,97.68037415,97.85359192,98.02389526,98.19134521,98.3526001,98.50465393,98.64447021,98.76902771,98.87550354,98.96206665,98.9,100,98,99.14831543,99.17969513,99.8,99.26573181,99.33103943,99.41564941,99.51981354,99.8,99.76715088,99.87887573,99.95405579,99.98897552,100,100
Armenia,ARM,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,98.59397888,98.66918945,98.74389648,98.81739807,98.8888092,98.95713043,99.02132416,99.0803833,99.13337708,99.17977905,99.1,99.25531006,99.28817749,99.32126617,99.3573761,99.9,99.44974518,99.51089478,99.58393097,99.66871643,99.7,99.85617065,99.93225098,99.97767639,99.99558258,100,100
Aruba,ABW,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,76.75690793,77.43146737,78.23446211,79.0683826,79.87819756,80.65717794,81.40079695,82.10271668,82.75881396,83.36614511,84.35836284,84.44182124,84.93015435,85.40189163,85.86461526,86.32564178,86.79247161,87.28009433,87.79542973,88.33014486,88.3834352,89.45592009,90.04422923,90.64546067,91.2520467,91.85620644,92.45284437
Aruba,ABW,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,88.44535065,88.78084564,89.11582947,89.44775391,89.77355957,90.09018707,90.39458466,90.68367767,90.954422,91.20375061,91.660398,91.63809204,91.83371735,92.0230484,92.21216583,92.40711975,92.61398315,92.83882141,93.08616638,93.35454559,93.35629215,93.94237518,94.2558136,94.57826233,94.90672302,95.23818207,95.57014465
Aruba,ABW,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,99.9854126,99.99336243,99.99815369,99.99976349,100,100,100,100,99.99965668,99.99711609,99.98864746,99.97144318,99.94694519,99.91992188,99.89533234,99.87765503,99.87138367,99.87138367,99.87953186,99.90148163,99.93228149,99.96323395,99.98558807,99.9964447,99.99958801,100,100
Australia,AUS,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Australia,AUS,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Australia,AUS,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,92.47360267,93.0527272,93.62489822,94.18537464,94.72914458,95.25106347,95.74630733,96.20987663,96.60495108,94.45029311,97.81641731,97.60385812,100,98.14949352,98.41482234,98.68783867,99,99.28658521,99.58736888,99.82209111,99.95059359,99.9,99.99989708,100,100,100,100
Azerbaijan,AZE,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,95.87023163,96.16372681,96.45671844,96.74664307,97.03045654,97.30509186,97.56748962,97.81459045,98.02761841,97,98.90822245,98.59178162,100,98.90182495,99.05349731,99.21097565,99.5,99.56214142,99.74180603,99.88473511,99.96567535,99.9,99.99971008,100,100,100,100
Azerbaijan,AZE,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,98.79302979,98.87409973,98.9546814,99.03405762,99.11134338,99.18553162,99.25559998,99.32051086,99.37937164,99.43164825,99.70492771,99.5189209,99.55766296,99.59661865,99.63859558,99.68640137,99.8,99.80857086,99.8788147,99.93986511,99.97883606,99.9,99.99954987,100,100,100,100
"Bahamas, The",BHS,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,82.02916466,83.34839824,84.69108117,86.04704966,87.40595549,88.75522343,90.08269973,91.37587796,92.62067749,93.80354083,94.91651664,96.065547,96.97014783,97.93931788,98.89765803,99.86622971,100,100,100,100,100,100,100,100,100,100,100
"Bahamas, The",BHS,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,90.79119873,91.3105011,91.8292923,92.34502411,92.85463715,93.35507202,93.84327698,94.316185,94.77072906,95.20387268,95.61405182,96.065547,96.38525391,96.75839996,97.13132477,97.51009369,97.90076447,98.32530212,98.753685,99.18226624,99.56098938,99.82565308,99.95579529,99.99473572,100,100,100
